id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,keyPass,qualifier/9/value,qualifier/12/value,qualifier/8/value,qualifier/16/value,teamName
2816613385,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-05-18T15:46:54.927Z,2025-05-18T16:12:12Z,5737335505,194,2e55g4q93y382cg7h0yk5rtud,5737335495,30,"2e55g4q93y382cg7h0yk5rtud, 4ggz7e009bq3yltc9o6mifbah, 6l1y87tlepsvr83d8y2qifeqy, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, eb3ci3a120om80v80mobsus8a, afxjicw89683nlpms9yy5x51x, cjll1xrw3xulnl23c9tlf6rys, 2wl6h1rlrfnn2mr65vuo3t815, 4mxx1oxkiexm0ha34utcmb17t, 6ofu6yc2qwp5ii9cerdq1tk9h, bzgh5psb1janz9y3btpswngbu, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, 1av9mmv19jwvc4xdr0p9owyxh, 3hht0os2uzu234yq550i3fbe2, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4gq1u1mqg0qzekh1u5djleeax, ezviixcyaaj162saxs2yl27s9, 8xjdsfk5u7wph4o7h1w45dses, 4jpwo30o4qp53k59oxvuj90k4",5737335497,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5737335507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5737442271,197,25285,5737335501,130,8,5737335503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5737335499,59,"1, 24, 35, 8, 2, 5, 19, 6, 9, 16, 11, 13, 25, 3, 10, 14, 15, 17, 18, 20, 21, 32, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816615797,1,34,16,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2025-05-18T15:49:38.837Z,2025-05-18T19:22:58Z,5737349579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5737349573,130,2,5737349569,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5737442787,197,284,5737349571,59,"1, 26, 23, 14, 8, 2, 19, 10, 22, 16, 21, 13, 4, 5, 6, 7, 9, 15, 17, 18, 24, 36",5737349577,194,c29mprqv2ulztd22b6uckczx1,5737349575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5737349567,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816668273,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-05-18T17:01:11.720Z,2025-05-18T22:49:14Z,5737647837,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668269,2,32,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2025-05-18T17:01:11.720Z,2025-05-18T17:01:11Z,5737647833,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816668281,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,50,2025-05-18T17:01:11.820Z,2025-05-18T17:01:13Z,5737647875,212,11.2,5737647877,213,3.06,5737647871,140,39.4,5737647869,56,Back,5737647873,141,51.3,5737647879,279,S,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermín López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668295,4,1,1,0,1,agh9ifb2mw3ivjusgedj7c3fe,1,39.4,51.3,2025-05-18T17:01:13.525Z,2025-05-18T17:01:16Z,5737647941,140,36,5737647943,141,20.8,5737647939,56,Back,5737647945,212,21,5737647947,213,4.54,,,,,,,,,,eb3ci3a120om80v80mobsus8a,Gavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668347,5,1,1,0,4,agh9ifb2mw3ivjusgedj7c3fe,1,36,20.8,2025-05-18T17:01:16.213Z,2025-05-18T17:01:20Z,5737648199,213,5.52,5737648197,212,14.7,5737648193,140,46.1,5737648195,141,5.9,5737648191,56,Back,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668351,6,3,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,0,61.6,4.2,2025-05-18T17:01:19.762Z,2025-05-18T22:49:27Z,5737648207,286,,5739092281,464,,5737648205,56,Right,5737648291,233,3,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668365,3,7,1,0,8,74mcjsm72vr3l9pw2i4qfjchj,1,38.4,95.8,2025-05-18T17:01:19.763Z,2025-05-18T22:49:29Z,5737648247,167,,5739092307,385,,5737648269,233,6,5737648249,56,Back,5737648251,285,,,,,,,,,,,4eezya3lwcwur6c8s6rl0rzvu,Yeremy Pino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816668405,4,5,1,0,9,74mcjsm72vr3l9pw2i4qfjchj,0,36.4,101.7,2025-05-18T17:01:20.773Z,2025-05-18T18:59:29Z,5737648495,56,Back,5737648497,347,,5737648731,233,7,,,,,,,,,,,,,,,,4eezya3lwcwur6c8s6rl0rzvu,Yeremy Pino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816668443,7,5,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,1,63.6,-1.7,2025-05-18T17:01:20.773Z,2025-05-18T18:59:28Z,5737648673,347,,5737648689,233,4,5737648671,56,Right,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668475,8,1,1,0,15,agh9ifb2mw3ivjusgedj7c3fe,1,57.4,0,2025-05-18T17:01:27.317Z,2025-05-18T17:01:29Z,5737648835,140,33.1,5737648837,141,22.4,5737648841,213,2.57,5737648831,107,,5737648839,212,30.3,5737648833,56,Back,5737648843,1,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668535,9,1,1,0,17,agh9ifb2mw3ivjusgedj7c3fe,1,35.7,29.9,2025-05-18T17:01:29.525Z,2025-05-18T17:01:36Z,5737649179,212,30.4,5737649173,56,Back,5737649175,140,34.7,5737649181,213,1.61,5737649177,141,74.6,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668585,10,1,1,0,24,agh9ifb2mw3ivjusgedj7c3fe,1,33,72.3,2025-05-18T17:01:36.053Z,2025-05-18T17:01:39Z,5737649471,212,22.4,5737649467,141,40.3,5737649463,140,27.9,5737649475,213,4.47,5737649459,56,Back,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668603,11,1,1,0,27,agh9ifb2mw3ivjusgedj7c3fe,1,25,34.6,2025-05-18T17:01:39.142Z,2025-05-18T17:01:41Z,5737649581,140,28.5,5737649589,213,4.93,5737649579,56,Back,5737649583,141,10.4,5737649587,212,16.9,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668631,12,1,1,0,29,agh9ifb2mw3ivjusgedj7c3fe,0,28.5,10.3,2025-05-18T17:01:40.885Z,2025-05-18T17:01:44Z,5737649765,140,43.9,5737649771,213,6.15,5737649767,141,7.1,5737649763,56,Back,5737649769,212,16.3,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668645,5,12,1,0,32,74mcjsm72vr3l9pw2i4qfjchj,1,58.1,98.4,2025-05-18T17:01:43.864Z,2025-05-18T22:50:29Z,5737649859,141,100,5737649885,167,,5737649863,213,1.31,5737649857,140,58.6,5737649855,56,Left,5737649861,212,2,,,,,,,4x854vpovag131b2kdutv4qju,Sergi Cardona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816668647,6,5,1,0,33,74mcjsm72vr3l9pw2i4qfjchj,0,58.2,101.2,2025-05-18T17:01:45.370Z,2025-05-18T17:02:04Z,5737650381,233,13,5737649867,347,,5737649865,56,Left,,,,,,,,,,,,,,,,4x854vpovag131b2kdutv4qju,Sergi Cardona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816668735,13,5,1,0,33,agh9ifb2mw3ivjusgedj7c3fe,1,41.8,-1.2,2025-05-18T17:01:45.370Z,2025-05-18T18:59:30Z,5737650365,233,6,5737650339,56,Back,5737650341,347,,,,,,,,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668747,14,1,1,0,42,agh9ifb2mw3ivjusgedj7c3fe,1,43.3,0,2025-05-18T17:01:54.245Z,2025-05-18T17:01:57Z,5737650623,189,,5737650401,107,,5737650403,56,Back,5737650409,212,21.6,5737650411,213,2.18,5737650405,140,31.6,5737650413,1,,5737650407,141,25.3,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668771,15,1,1,0,43,agh9ifb2mw3ivjusgedj7c3fe,1,31.7,25.1,2025-05-18T17:01:55.109Z,2025-05-18T17:01:57Z,5737650585,140,31.4,5737650593,212,29.8,5737650595,213,1.58,5737650583,56,Back,5737650589,141,68.9,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668821,16,1,1,0,46,agh9ifb2mw3ivjusgedj7c3fe,1,33.7,69.6,2025-05-18T17:01:58.325Z,2025-05-18T17:02:00Z,5737650785,213,1.25,5737650779,140,39,5737650781,141,93.9,5737650783,212,17.4,5737650777,56,Back,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668869,17,1,1,0,48,agh9ifb2mw3ivjusgedj7c3fe,1,38.9,93.8,2025-05-18T17:01:59.845Z,2025-05-18T17:02:04Z,5737651005,56,Back,5737651011,212,15.8,5737651009,141,74.3,5737651007,140,30.7,5737651013,213,4.14,,,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668889,18,1,1,0,52,agh9ifb2mw3ivjusgedj7c3fe,1,31.3,72,2025-05-18T17:02:03.877Z,2025-05-18T17:02:06Z,5737651155,212,27.2,5737651151,140,30.2,5737651149,56,Back,5737651157,213,4.67,5737651153,141,32,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668909,19,1,1,0,55,agh9ifb2mw3ivjusgedj7c3fe,1,33,31.3,2025-05-18T17:02:06.773Z,2025-05-18T17:02:08Z,5737651291,141,7,5737651287,56,Right,5737651293,212,30.8,5737651295,213,5.72,5737651289,140,57.7,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668923,20,1,1,0,57,agh9ifb2mw3ivjusgedj7c3fe,1,57.7,7,2025-05-18T17:02:08.741Z,2025-05-18T17:02:10Z,5737651385,140,40,5737651391,213,3.15,5737651389,212,18.6,5737651383,56,Back,5737651387,141,6.8,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668961,21,1,1,0,58,agh9ifb2mw3ivjusgedj7c3fe,1,40,6.8,2025-05-18T17:02:10.165Z,2025-05-18T17:02:12Z,5737651579,212,12.8,5737651575,141,20.9,5737651567,56,Back,5737651571,140,31.9,5737651581,213,2.3,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816668997,22,1,1,1,0,agh9ifb2mw3ivjusgedj7c3fe,1,31.7,23,2025-05-18T17:02:12.693Z,2025-05-18T17:02:17Z,5737651773,140,31.9,5737651779,212,29.2,5737651771,56,Back,5737651783,213,1.56,5737651775,141,65.9,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669037,23,1,1,1,5,agh9ifb2mw3ivjusgedj7c3fe,1,34.6,69.6,2025-05-18T17:02:17.558Z,2025-05-18T17:02:19Z,5737651937,212,20.1,5737651935,141,95.3,5737651933,140,44.1,5737651939,213,1.05,5737651931,56,Back,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669063,24,1,1,1,8,agh9ifb2mw3ivjusgedj7c3fe,1,43.7,94.1,2025-05-18T17:02:19.733Z,2025-05-18T17:02:22Z,5737652089,140,33.3,5737652095,213,4.08,5737652087,56,Back,5737652093,212,18.6,5737652091,141,72,,,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669075,25,1,1,1,11,agh9ifb2mw3ivjusgedj7c3fe,1,34.2,71,2025-05-18T17:02:22.788Z,2025-05-18T17:02:25Z,5737652209,212,21.3,5737652207,141,40.1,5737652203,56,Back,5737652205,140,30.7,5737652211,213,4.54,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669085,26,1,1,1,13,agh9ifb2mw3ivjusgedj7c3fe,1,34.4,37.1,2025-05-18T17:02:25.413Z,2025-05-18T17:02:27Z,5737652271,56,Back,5737652279,213,4.91,5737652273,140,37.3,5737652275,141,14.6,5737652277,212,15.6,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669125,27,1,1,1,15,agh9ifb2mw3ivjusgedj7c3fe,1,38.8,13.7,2025-05-18T17:02:27.685Z,2025-05-18T17:02:33Z,5737652503,212,19.7,5737652499,140,56.8,5737652501,141,5.5,5737652497,56,Right,5737652505,213,6,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669145,28,1,1,1,21,agh9ifb2mw3ivjusgedj7c3fe,1,58.9,14,2025-05-18T17:02:33.301Z,2025-05-18T17:02:34Z,5737652635,140,54,5737652637,141,13.9,5737652641,213,3.15,5737652633,56,Right,5737652639,212,5.1,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669167,29,1,1,1,23,agh9ifb2mw3ivjusgedj7c3fe,1,54,13.9,2025-05-18T17:02:34.805Z,2025-05-18T17:02:37Z,5737652781,141,29.8,5737652783,212,20,5737652777,56,Back,5737652785,213,2.57,5737652779,140,38,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669203,30,1,1,1,25,agh9ifb2mw3ivjusgedj7c3fe,1,39.7,34.7,2025-05-18T17:02:37.413Z,2025-05-18T17:02:42Z,5737652961,212,26.9,5737652955,56,Back,5737652957,140,42.3,5737652963,213,1.47,5737652959,141,74.1,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669237,31,1,1,1,31,agh9ifb2mw3ivjusgedj7c3fe,1,56.5,75.6,2025-05-18T17:02:42.788Z,2025-05-18T17:02:45Z,5737653155,212,13.7,5737653151,140,62.3,5737653149,56,Left,5737653153,141,93.6,5737653157,213,1.11,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669269,32,1,1,1,33,agh9ifb2mw3ivjusgedj7c3fe,1,62.3,93.6,2025-05-18T17:02:45.061Z,2025-05-18T17:02:47Z,5737653315,140,51.8,5737653327,213,3.77,5737653323,212,13.6,5737653319,141,81.9,5737653313,56,Left,,,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669281,33,1,1,1,35,agh9ifb2mw3ivjusgedj7c3fe,1,50.9,81.2,2025-05-18T17:02:47.429Z,2025-05-18T17:02:49Z,5737653419,212,11.5,5737653413,56,Center,5737653415,140,58,5737653421,213,5.42,5737653417,141,68.3,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669315,34,1,1,1,37,agh9ifb2mw3ivjusgedj7c3fe,1,58,68.3,2025-05-18T17:02:48.997Z,2025-05-18T17:02:53Z,5737653653,56,Left,5737653659,212,9.9,5737653661,213,1.66,5737653655,140,57.2,5737653657,141,82.8,,,,,,,,,,eb3ci3a120om80v80mobsus8a,Gavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669329,35,1,1,1,41,agh9ifb2mw3ivjusgedj7c3fe,0,60.7,72.9,2025-05-18T17:02:52.980Z,2025-05-18T17:02:55Z,5737653751,155,,5737653759,212,35.3,5737653753,56,Center,5737653755,140,70.6,5737653761,213,5.01,5737653757,141,23.3,5737653763,1,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669335,7,8,1,1,44,74mcjsm72vr3l9pw2i4qfjchj,1,29.2,80.5,2025-05-18T17:02:56.512Z,2025-05-18T22:51:06Z,5737653795,56,Back,5739096751,384,,,,,,,,,,,,,,,,,,,,4x854vpovag131b2kdutv4qju,Sergi Cardona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816669403,36,1,1,1,45,agh9ifb2mw3ivjusgedj7c3fe,1,65.2,31.3,2025-05-18T17:02:57.653Z,2025-05-18T17:03:03Z,5737654145,140,70,5737654143,56,Center,5737654147,141,30.5,5737654151,213,6.18,5737654149,212,5.1,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669407,37,61,1,1,51,agh9ifb2mw3ivjusgedj7c3fe,0,77,3.5,2025-05-18T17:03:02.917Z,2025-05-18T17:03:03Z,5737654163,56,Right,,,,,,,,,,,,,,,,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermín López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669491,8,5,1,1,51,74mcjsm72vr3l9pw2i4qfjchj,1,23.6,101.4,2025-05-18T17:03:03.584Z,2025-05-18T18:59:30Z,5737654559,347,,5737654557,56,Back,5737654593,233,38,,,,,,,,,,,,,,,,4x854vpovag131b2kdutv4qju,Sergi Cardona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816669413,38,5,1,1,51,agh9ifb2mw3ivjusgedj7c3fe,0,76.4,-1.4,2025-05-18T17:03:03.584Z,2025-05-18T18:59:31Z,5737654217,56,Right,5737654617,233,8,5737654219,347,,,,,,,,,,,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermín López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2816669605,9,1,1,2,6,74mcjsm72vr3l9pw2i4qfjchj,1,20.4,100,2025-05-18T17:03:17.920Z,2025-05-18T17:03:20Z,5737655171,107,,5737655173,56,Back,5737655179,212,5.5,5737655181,213,4.77,5737655175,140,20.7,5737655177,141,93.3,,,,,,,4x854vpovag131b2kdutv4qju,Sergi Cardona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816669621,10,1,1,2,8,74mcjsm72vr3l9pw2i4qfjchj,1,20.7,93.3,2025-05-18T17:03:20.272Z,2025-05-18T17:03:21Z,5737655273,212,19.1,5737655269,141,91.5,5737655265,56,Back,5737655277,213,3.21,5737655267,140,2.5,,,,,,,,,,4eezya3lwcwur6c8s6rl0rzvu,Yeremy Pino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816669663,11,1,1,2,9,74mcjsm72vr3l9pw2i4qfjchj,1,2.5,91.5,2025-05-18T17:03:21.263Z,2025-05-18T17:03:25Z,5737655529,213,4.92,5737655523,140,11.7,5737655521,56,Back,5737655527,212,46.5,5737655519,196,,5737655525,141,24.6,5737655531,1,,,,,59knsm910b1ruk024rkksla3u,Logan Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816669685,12,1,1,2,13,74mcjsm72vr3l9pw2i4qfjchj,1,11.7,24.6,2025-05-18T17:03:25.680Z,2025-05-18T17:03:27Z,5737655645,212,15,5737655647,213,0.11,5737655641,140,25.9,5737655643,141,27,5737655639,56,Back,,,,,,,,,,9rtfwu0z7qtk1kglenp2vm13o,Pau Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816669709,13,1,1,2,15,74mcjsm72vr3l9pw2i4qfjchj,1,26.1,28,2025-05-18T17:03:27.376Z,2025-05-18T17:03:29Z,5737655819,140,22.5,5737655825,213,2.23,5737655823,212,6.2,5737655817,56,Back,5737655821,141,35.2,,,,,,,,,,5zoz3mjooujpv0wdcphyrztd6,Álex Baena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816669751,14,1,1,2,17,74mcjsm72vr3l9pw2i4qfjchj,1,22.4,35.2,2025-05-18T17:03:29.007Z,2025-05-18T17:03:32Z,5737656027,212,19.5,5737656025,141,6.8,5737656029,213,4.86,5737656023,140,25.1,5737656021,56,Back,,,,,,,,,,c29mprqv2ulztd22b6uckczx1,Dani Parejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816669779,15,1,1,2,21,74mcjsm72vr3l9pw2i4qfjchj,1,22.6,18.2,2025-05-18T17:03:32.768Z,2025-05-18T17:03:34Z,5737656213,213,2.36,5737656207,140,12.4,5737656209,141,33.7,5737656211,212,15,5737656205,56,Back,,,,,,,,,,9rtfwu0z7qtk1kglenp2vm13o,Pau Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816669809,16,1,1,2,22,74mcjsm72vr3l9pw2i4qfjchj,1,12.4,33.7,2025-05-18T17:03:34.464Z,2025-05-18T17:03:36Z,5737656349,56,Back,5737656351,140,4.6,5737656355,212,14,5737656353,141,50.4,5737656357,213,2.2,,,,,,,,,,5soi8e2hlk77rlsbsl76hg3xl,J. Foyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816669821,17,1,1,2,24,74mcjsm72vr3l9pw2i4qfjchj,1,4.6,50.4,2025-05-18T17:03:36.511Z,2025-05-18T17:03:37Z,5737656445,140,12.9,5737656447,141,48.8,5737656443,56,Back,5737656449,212,8.8,5737656451,213,6.16,,,,,,,,,,6ddxujeb3873j5evwiz8n4wt0,Luíz Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816669837,18,1,1,2,26,74mcjsm72vr3l9pw2i4qfjchj,1,12.9,48.8,2025-05-18T17:03:37.791Z,2025-05-18T17:52:45Z,5737656553,212,15.8,5737656551,141,26.1,5737656549,140,9.8,5737656555,213,4.5,5737656547,56,Back,,,,,,,,,,c29mprqv2ulztd22b6uckczx1,Dani Parejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2816669889,19,1,1,2,29,74mcjsm72vr3l9pw2i4qfjchj,0,12.3,25.5,2025-05-18T17:03:41.264Z,2025-05-18T17:03:43Z,5737656847,141,53.7,5737656843,56,Back,5737656851,213,0.49,5737656849,212,40.4,5737656845,140,46.2,5737656853,1,,,,,,,,5soi8e2hlk77rlsbsl76hg3xl,J. Foyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
